Product Name,Grade,Generic Polymer Type,Generic Polymer Symbol,Polymer Code,Tensile Strength at Yield,Melting Temperature,Flexural Modulus,Flexural Strength,Tensile Modulus,Glass Transition Temperature,Melt Mass-Flow Rate (MFR)
SABIC® HDPE,T5E01BW,"Polyethylene, High Density",HDPE,PE-HD,,,,,,,0.2
Arak HDPE,BL6,"Polyethylene, High Density",HDPE,PE-HD,,,,,,,0.11
Arak HDPE,EX4,"Polyethylene, High Density",HDPE,PE-HD,,,,,,,0.28
Arak HDPE,I1,"Polyethylene, High Density",HDPE,PE-HD,,,,,,,52.0
EGYPTENE,HD 5211 EA,"Polyethylene, High Density",HDPE,PE-HD,27.0,,1150.0,,,,11.0
SIMONA®,HDPE  Boatboard Lightweight,"Polyethylene, High Density",HDPE,PE-HD,16.5,,1100.0,,,,
SIMONA®,HDPE Boatboard Cabinet Grade,"Polyethylene, High Density",HDPE,PE-HD,30.3,,1660.0,,,,
TABOREX®,TA 1108 HD,"Polyethylene, High Density",HDPE,PE-HD,,,,,,,2.7
TABOCAB®,XM 906,"Polyethylene, High Density",HDPE,PE-HD-FR,,,,,,,0.2
Yanshan PE,1500J,"Polyethylene, High Density",HDPE,PE-HD,28.0,,,,,,20.0
Yanshan PE,5200B,"Polyethylene, High Density",HDPE,PE-HD,23.0,,,,,,0.35
YUZEX™,2600D,"Polyethylene, High Density",HDPE,PE-HD,28.4,,1080.0,,,,0.18
YUZEX™,3301,"Polyethylene, High Density",HDPE,PE-HD,24.5,,883.0,,,,0.8
YUZEX™,6100,"Polyethylene, High Density",HDPE,PE-HD,23.5,,834.0,,,,0.052
YUZEX™,8800,"Polyethylene, High Density",HDPE,PE-HD,22.6,,981.0,,,,0.048
YUZEX™,8800U,"Polyethylene, High Density",HDPE,PE-HD,22.6,,981.0,,,,0.04
PRIMALENE,WPP700,"Polyethylene, High Density",HDPE,PE-HD,24.0,,1040.0,,,,0.35
PRIMALENE,WPP701,"Polyethylene, High Density",HDPE,PE-HD,27.0,,1200.0,,,,0.3
PRIMALENE,WPP731,"Polyethylene, High Density",HDPE,PE-HD,25.5,,1210.0,,,,11.0
PRIMALENE,WPP732,"Polyethylene, High Density",HDPE,PE-HD,28.3,,1280.0,,,,6.6
PRIMALENE,WPP771,"Polyethylene, High Density",HDPE,PE-HD,23.9,,979.0,,,,40.0
PRIMALENE,WPP790P,"Polyethylene, High Density",HDPE,PE-HD,22.1,,793.0,,689.0,,0.55
PRIMALENE,WPP820,"Polyethylene, High Density (HMW)","HDPE, HMW",PE-HD,24.0,,1030.0,,,,0.1
PRIMALENE,WPP862,"Polyethylene, High Density",HDPE,PE-HD,28.0,,972.0,,,,0.25
ETILINAS,HD6070UA,"Polyethylene, High Density",HDPE,PE-HD,31.0,132.0,1250.0,,,,7.6
ETILINAS,PC4012,"Polyethylene, High Density",HDPE,PE-HD,23.0,,850.0,,,,0.2
Prixene®,EA003S56,"Polyethylene, High Density",HDPE,PE-HD,27.6,,,,1500.0,,0.35
POLYSLICK®,UHMW : Bus Curb,"Polyethylene, High Density (HMW)","HDPE, HMW",PE-HD,24.1,133.0,,,,,
DENSETEC®,Antimicrobial,"Polyethylene, High Density",HDPE,PE-HD,27.0,,1380.0,,,,
PrimaFlex®,HD 5320,"Polyethylene, High Density",HDPE,PE-HD,25.5,,1210.0,,,,20.0
PrimaFlex®,HD 6107,"Polyethylene, High Density",HDPE,PE-HD,28.3,,1380.0,,,,7.0
VENELENE®,2706,"Polyethylene, High Density",HDPE,PE-HD,22.0,,700.0,20.0,,,4.5
VENELENE®,2710,"Polyethylene, High Density",HDPE,PE-HD,23.0,,700.0,20.0,,,18.0
POLYCOMPO PE,2100JH,"Polyethylene, High Density",HDPE,PE-HD,21.0,,810.0,,,,9.0
POLYCOMPO PE,2200J,"Polyethylene, High Density",HDPE,PE-HD,28.0,,1300.0,,,,5.2
PETILEN,YY  I468(UV),"Polyethylene, High Density",HDPE,PE-HD,30.0,,1200.0,,,,4.0
PETILEN,YY  I860(O),"Polyethylene, High Density",HDPE,PE-HD,30.0,,1200.0,,,,7.5
Nemcon™ E,HDPE 11000,"Polyethylene, High Density",HDPE,PE-HD,25.0,,510.0,,820.0,,
HIVAL®,PE HD 511051,"Polyethylene, High Density",HDPE,PE-HD,26.2,,1220.0,,,,12.0
HIVAL®,PE HDBM 500354,"Polyethylene, High Density",HDPE,PE-HD,25.5,,1240.0,,,,0.35
HIVAL®,PE HDBM 500354U,"Polyethylene, High Density",HDPE,PE-HD,31.0,,1180.0,,,,0.3
HIVAL®,PE HDBM 500860,"Polyethylene, High Density",HDPE,PE-HD,30.3,,1520.0,,,,0.8
SURPASS®,HPs167-AB,"Polyethylene, High Density",HDPE,PE-HD,,,,,,,1.2
SURPASS®,HPs267-AB,"Polyethylene, High Density",HDPE,PE-HD,,,,,,,2.0
SCLAIR®,2712CC,"Polyethylene, High Density",HDPE,PE-HD,23.0,,1000.0,,,,32.0
SCLAIR®,2909,"Polyethylene, High Density",HDPE,PE-HD,29.0,,1280.0,,,,13.0
NOVAPOL®,HB-W355-A,"Polyethylene, High Density",HDPE,PE-HD,28.0,,1380.0,,,,3.0
NEFTEKHIM PE,2060V (60118),"Polyethylene, High Density",HDPE,PE-HD,,,1550.0,,,,16.0
NEFTEKHIM PE,4052P,"Polyethylene, High Density",HDPE,PE-HD,,,1200.0,,,,1.4
NEFTEKHIM PE,4052V (52418),"Polyethylene, High Density",HDPE,PE-HD,,,1250.0,,,,16.0
NEFTEKHIM PE,4152L (524F6),"Polyethylene, High Density",HDPE,PE-HD,,,,,,,0.5
NEFTEKHIM PE,4153L (524F6),"Polyethylene, High Density",HDPE,PE-HD,,,,,,,0.5
NEFTEKHIM PE,4550N (50401M),"Polyethylene, High Density",HDPE,PE-HD,,,,,,,0.8
NEFTEKHIM PE,6054N,"Polyethylene, High Density",HDPE,PE-HD,,,1200.0,,,,1.3
NEFTEKHIM PE,6054P,"Polyethylene, High Density",HDPE,PE-HD,,,,,,,1.4
NEFTEKHIM PE,6146KM,"Polyethylene, High Density",HDPE,PE-HD,15.0,,,,,,0.2
NEFTEKHIM PE,6148C (486H3),"Polyethylene, High Density",HDPE,PE-HD,,,,,,,0.1
NEFTEKHIM PE,6148K,"Polyethylene, High Density",HDPE,PE-HD,,,,,,,0.6
NEFTEKHIM PE,6152C (526H3),"Polyethylene, High Density",HDPE,PE-HD,,,,,,,0.15
NEFTEKHIM PE,6348K (486F3),"Polyethylene, High Density",HDPE,PE-HD,,,,,,,0.2
NEFTEKHIM PE,6749F (486H6),"Polyethylene, High Density",HDPE,PE-HD,,,,,,,0.5
LITEN®,BB 52-010,"Polyethylene, High Density Copolymer",HDPE Copolymer,PE-HD,23.0,,1200.0,,850.0,,0.65
LITEN®,BB 75,"Polyethylene, High Density Copolymer",HDPE Copolymer,PE-HD,24.0,,1100.0,,1000.0,,0.52
LITEN®,FB 75,"Polyethylene, High Density Copolymer",HDPE Copolymer,PE-HD,24.0,,1000.0,,,,0.1
LITEN®,MB 53-200,"Polyethylene, High Density Copolymer",HDPE Copolymer,PE-HD,24.0,,900.0,,750.0,,1.8
LITEN®,MB 71,"Polyethylene, High Density",HDPE,PE-HD,25.0,135.0,1150.0,,1000.0,,8.0
LITEN®,ML 57,"Polyethylene, High Density Copolymer",HDPE Copolymer,PE-HD,22.0,,850.0,,850.0,,4.3
LITEN®,PL 62-005,"Polyethylene, High Density Copolymer",HDPE Copolymer,PE-HD,22.0,131.0,1100.0,,1000.0,,0.25
LITEN®,RL 58 UV,"Polyethylene, High Density Copolymer",HDPE Copolymer,PE-HD,20.0,,850.0,,800.0,,2.4
LITEN®,TB 49-060,"Polyethylene, High Density Copolymer",HDPE Copolymer,PE-HD,24.0,132.0,1200.0,,700.0,,0.6
Osterlene®,HD030-AS,"Polyethylene, High Density",HDPE,PE-HD,26.2,,1280.0,,,,0.32
Osterlene®,HD0860,"Polyethylene, High Density",HDPE,PE-HD,29.3,,1310.0,,,,7.9
Osterlene®,HD2000-GP,"Polyethylene, High Density",HDPE,PE-HD,26.9,,1170.0,,,,18.0
Osterlene®,HD4000-GP,"Polyethylene, High Density",HDPE,PE-HD,24.8,,993.0,,,,40.0
Osterlene®,HD5000-GP,"Polyethylene, High Density",HDPE,PE-HD,21.6,,827.0,,689.0,,50.0
Osterlene®,HM0550,"Polyethylene, High Density (HMW)","HDPE, HMW",PE-HD,,131.0,,,,,0.04
Osterlene®,HM0595,"Polyethylene, High Density (HMW)","HDPE, HMW",PE-HD,,,,,,,0.06
LUBAN™,DGDX-6095,"Polyethylene, High Density",HDPE,PE-HD,33.0,,1160.0,,,,0.05
LUBAN™,DMDH-6400,"Polyethylene, High Density",HDPE,PE-HD,31.7,,1300.0,,,,0.73
LUBAN™,DMDZ-6147,"Polyethylene, High Density",HDPE,PE-HD,24.6,,885.0,,,,0.05
TIPELIN®,1100J,"Polyethylene, High Density",HDPE,PE-HD,,,1400.0,,,,8.0
TIPELIN®,6301B,"Polyethylene, High Density",HDPE,PE-HD,,,1500.0,,,,0.3
TIPELIN®,7100S,"Polyethylene, High Density",HDPE,PE-HD,24.0,,1200.0,,,,0.12
TIPELIN®,7700M,"Polyethylene, High Density",HDPE,PE-HD,,,1100.0,,,,0.06
TIPELIN®,BB 620-17,"Polyethylene, High Density",HDPE,PE-HD,,,1800.0,,,,0.65
TIPELIN®,BS 501-17,"Polyethylene, High Density",HDPE,PE-HD,,,1350.0,,,,0.18
ALTECH® PE-HD,A 2010/506 GF10,"Polyethylene, High Density",HDPE,PE-HD-GF10,25.0,,1400.0,25.0,1800.0,,
ALTECH® PE-HD,A 2010/550 GF10,"Polyethylene, High Density",HDPE,PE-HD-GF10,28.0,,1300.0,26.0,1500.0,,
ALTECH® PE-HD,A 2040/500 GF40,"Polyethylene, High Density",HDPE,PE-HD-GF40,,,3300.0,45.0,3100.0,,
Exelene® HDPE,4000,"Polyethylene, High Density Copolymer",HDPE Copolymer,PE-HD,26.2,131.0,1300.0,,,,4.0
CERTENE™,HGB-0454A,"Polyethylene, High Density",HDPE,PE-HD,27.0,,1170.0,,,,0.4
CERTENE™,HGB-0457B,"Polyethylene, High Density",HDPE,PE-HD,28.0,,1520.0,,,,0.4
CERTENE™,HHP-0449,"Polyethylene, High Density",HDPE,PE-HD,24.0,,1140.0,,,,0.4
CERTENE™,HI-1252,"Polyethylene, High Density",HDPE,PE-HD,27.6,,1210.0,,,,12.0
CERTENE™,HI-864U,"Polyethylene, High Density",HDPE,PE-HD,33.0,,1700.0,,,,8.0
CERTENE™,HPB-0345,"Polyethylene, High Density",HDPE,PE-HD,24.1,,1040.0,,,,0.35
CERTENE™,HPB-0360,"Polyethylene, High Density",HDPE,PE-HD,30.7,,1580.0,,,,0.28
AUROlen®,PE-HD natural,"Polyethylene, High Density",HDPE,PE-HD,22.0,131.0,,,900.0,,
ColorFast®,PE1-0800,"Polyethylene, High Density",HDPE,PE-HD,31.7,,1580.0,,,,8.0
PRIMATOP®,HDPE 003955PZ,"Polyethylene, High Density",HDPE,PE-HD-L,27.6,,1380.0,,,,0.35
PRIMATOP®,HDPE 080960,"Polyethylene, High Density",HDPE,PE-HD,32.4,,1550.0,,,,8.0
Amco Compounds,C22008,"Polyethylene, High Density",HDPE,PE-HD-GF20,51.7,,2890.0,,,,2.5
MAJORIS,AG100E,"Polyethylene, High Density",HDPE,PE-HD-GF10,30.0,,1490.0,,1800.0,,0.2
MAJORIS,BG220E - 8229,"Polyethylene, High Density",HDPE,PE-HD-GF20,43.0,,3150.0,68.0,3800.0,,2.5
MAJORIS,EB300E - 8229,"Polyethylene, High Density",HDPE,PE-HD-MD30,21.8,,1400.0,,,,14.0
Adell PE,KV-14-N,"Polyethylene, High Density",HDPE,PE-HD-L,,,724.0,,,,
Ecomass®,3608TU96,"Polyethylene, High Density",HDPE,PE-HD-Me,,,1970.0,14.2,2350.0,,
Eleme,HEG00952,"Polyethylene, High Density",HDPE,PE-HD,,,,,,,0.9
AuroraTec™,1001,"Polyethylene, High Density",HDPE,PE-HD,33.1,,1720.0,,,,10.0
AuroraTec™,2001,"Polyethylene, High Density",HDPE,PE-HD,33.1,,1720.0,,,,20.0
AuroraTec™,3501E,"Polyethylene, High Density",HDPE,PE-HD,27.6,,1380.0,,,,0.35
Daelim Po1y®,50100F,"Polyethylene, High Density",HDPE,PE-HD,,,,,,,0.06
Daelim Po1y®,HX-100,"Polyethylene, High Density",HDPE,PE-HD,25.5,,863.0,,,,0.8
Daelim Po1y®,HX-250BL,"Polyethylene, High Density",HDPE,PE-HD,18.0,,,,,,0.25
Daelim Po1y®,LH210,"Polyethylene, High Density",HDPE,PE-HD,58.8,,,,,,0.75
Daelim Po1y®,LH-5540,"Polyethylene, High Density",HDPE,PE-HD,27.5,,1470.0,,,,4.5
Daelim Po1y®,LH820,"Polyethylene, High Density",HDPE,PE-HD,25.5,,834.0,,,,2.2
Daelim Po1y®,TR144,"Polyethylene, High Density",HDPE,PE-HD,,,,,,,0.18
Daelim Po1y®,TR430,"Polyethylene, High Density",HDPE,PE-HD,,,981.0,,,,0.14
Daelim Po1y®,TR480BL,"Polyethylene, High Density",HDPE,PE-HD,,,785.0,,,,0.65
Daelim Po1y®,TR-570H,"Polyethylene, High Density (HMW)","HDPE, HMW",PE-HD,26.5,,1270.0,,,,0.04
Daelim Po1y®,TR580,"Polyethylene, High Density",HDPE,PE-HD,27.5,,1270.0,,,,2.2
Delta,HDPE 5508,"Polyethylene, High Density",HDPE,PE-HD,26.2,,1030.0,,,,8.0
DuraSurf™,E801,"Polyethylene, High Density (HMW)","HDPE, HMW",PE-HD,19.2,,471.0,,,,
Braskem PE,AC 59,"Polyethylene, High Density",HDPE,PE-HD,28.0,,1180.0,,,,0.75
Braskem PE,DA065A,"Polyethylene, High Density",HDPE,PE-HD,,,950.0,,,,0.15
Braskem PE,GM 8260,"Polyethylene, High Density",HDPE,PE-HD,,,1350.0,,,,0.42
Braskem PE,GM5340PRK,"Polyethylene, High Density",HDPE,PE-HD,23.0,,980.0,,,,0.55
Braskem PE,GP100BLXP,"Polyethylene, High Density",HDPE,PE-HD,24.0,,1030.0,,,,0.25
Braskem PE,HC7260LS-L,"Polyethylene, High Density",HDPE,PE-HD,30.0,,1380.0,,,,7.2
Braskem PE,HD3000N,"Polyethylene, High Density",HDPE,PE-HD,,,,,,,7.3
Braskem PE,HD4601U,"Polyethylene, High Density",HDPE,PE-HD,23.0,,920.0,,,,2.0
Braskem PE,HD5000N,"Polyethylene, High Density",HDPE,PE-HD,,,,,,,1.3
Braskem PE,HD7400XP,"Polyethylene, High Density",HDPE,PE-HD,,,,,,,0.31
Braskem PE,HS4506A,"Polyethylene, High Density",HDPE,PE-HD,24.0,,930.0,,,,5.0
Braskem PE,HS5407,"Polyethylene, High Density",HDPE,PE-HD,30.0,,1200.0,,,,0.3
Braskem PE,IA59U3,"Polyethylene, High Density",HDPE,PE-HD,28.0,,1250.0,,,,7.3
Braskem PE,IB-58,"Polyethylene, High Density",HDPE,PE-HD,,,1200.0,,,,35.0
Braskem PE,IE-59 U3,"Polyethylene, High Density",HDPE,PE-HD,27.0,,1250.0,,,,5.0
Braskem PE,RGR 7A2 WE,"Polyethylene, High Density",HDPE,PE-HD,,,1100.0,,,,0.27
Braskem PE,SHD0860,"Polyethylene, High Density",HDPE,PE-HD,,,,,,,8.0
Braskem PE,RGR 7A2 WE,"Polyethylene, High Density",HDPE,PE-HD,,,1100.0,,,,0.27
Braskem PE,SHC7260,"Polyethylene, High Density",HDPE,PE-HD,30.0,,1350.0,,,,7.2
